"OO_6259"	"0.4089264173703257 - 37.35398230088496"
"OO_6260"	"0.45422535211267606 - 35.684754521963825"
"OO_6261"	"0.3641851106639839 - 21.060773480662984"
"OO_6262"	"0.3762200532386868 - 36.25471698113208"
"OO_6263"	"0.5821812596006144 - 52.70712401055409"
"OO_6264"	"0.5407331975560081 - 45.145009416195855"
"OO_6265"	"0.4682080924855491 - 35.06172839506173"
"OO_6266"	"0.44835965978128794 - 36.44444444444444"
"OO_6267"	"0.4839506172839506 - 32.77040816326531"
"OO_6268"	"0.4451772464962902 - 35.07037037037037"
"OO_6269"	"0.39705882352941174 - 34.31481481481482"
"OO_6270"	"0.5078125 - 47.92967032967033"
"OO_6271"	"0.48415300546448087 - 43.8510158013544"
"OO_6272"	"0.40030911901081917 - 22.293436293436294"
"OO_6273"	"0.542528735632184 - 39.76271186440678"
"OO_6274"	"0.486810551558753 - 37.97290640394089"
"OO_6275"	"0.40344827586206894 - 33.97435897435897"
"OO_6276"	"0.39921722113502933 - 30.745098039215687"
"OO_6277"	"0.598825831702544 - 39.22549019607843"
"OO_6278"	"0.31484502446982054 - 29.61139896373057"
"OO_6279"	"0.37003058103975534 - 30.5"
"OO_6280"	"0.4305555555555556 - 30.576612903225808"
"OO_6281"	"0.5313609467455621 - 30.835189309576837"
"OO_6282"	"0.4091743119266055 - 32.139013452914796"
"OO_6283"	"0.5845697329376854 - 40.6497461928934"
"OO_6284"	"0.5133333333333333 - 34.49025974025974"
"OO_6285"	"0.27954545454545454 - 21.479674796747968"
"OO_6286"	"0.5158974358974359 - 49.986083499005964"
"OO_6287"	"0.4526710402999063 - 43.780538302277435"
"OO_6288"	"0.4078061911170929 - 36.102310231023104"
"OO_6289"	"0.4270650263620387 - 32.28395061728395"
"OO_6290"	"0.48525469168900803 - 33.1841620626151"
